web_scraper_order,web_scraper_start_url,Nom,prix,adresse,image_lien
"1767562794-45","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Vaches","275 000CFA","Rufisque, Sénégal","https://images.coinafrique.com/thumb_1500655_uploaded_image1_1579358078.9.png"
"1767562794-46","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","700 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_1495773_uploaded_image1_1579276951.77.png"
"1767562794-47","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Dindes - canards et colverts","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1490889_uploaded_image1_1579188174.8.png"
"1767562794-48","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Biscuit en poudre pour betail","4 000CFA","Patte d'oie, Dakar, Sénégal","https://images.coinafrique.com/thumb_1459836_uploaded_image1_1578670978.71.png"
"1767562794-49","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453837_uploaded_image1_1578583493.67.png"
"1767562794-50","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_1453830_uploaded_image1_1578583361.91.png"
"1767562794-51","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1441558_uploaded_image1_1578406878.24.png"
"1767562794-52","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies toulouse","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1428089_uploaded_image1_1578172839.3.png"
"1767562794-53","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421206_uploaded_image2_1578050744.82.png"
"1767562794-54","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cheval","400 000CFA","Fatick, Sénégal","https://images.coinafrique.com/thumb_1421196_uploaded_image1_1578050637.48.png"
"1767562794-55","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies de guinée","Prix sur demande","Thies, Sénégal","https://images.coinafrique.com/thumb_1417652_uploaded_image1_1577968881.34.png"
"1767562794-56","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1395711_uploaded_image1_1577438640.7.png"
"1767562794-57","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1395598_uploaded_image1_1577437294.33.png"
"1767562794-58","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oiseaux exotiques","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_1393968_uploaded_image1_1577393598.45.png"
"1767562794-59","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1389654_uploaded_image1_1577304861.89.png"
"1767562794-60","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Cailles","12 000CFA","Mermoz-Sacré-Cœur, Dakar, Sénégal","https://images.coinafrique.com/thumb_1376905_uploaded_image1_1577034747.91.png"
"1767562794-61","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","Prix sur demande","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1322739_uploaded_image1_1576006817.07.png"
"1767562794-62","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies","60 000CFA","Fass, Dakar, Sénégal","https://images.coinafrique.com/thumb_1311792_uploaded_image1_1575817543.97.png"
"1767562794-63","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Paon bleu","Prix sur demande","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_1310387_uploaded_image1_1575790267.47.png"
"1767562794-64","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœufs","350 000CFA","Sénégal","https://images.coinafrique.com/thumb_1198114_uploaded_image1_1573729988.56.png"
"1767562794-65","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Boeuf","Prix sur demande","Dakar, Sénégal","https://images.coinafrique.com/thumb_1129419_uploaded_image1_1572391697.86.png"
"1767562794-66","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Mouton ladoum pure sang","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_1011139_uploaded_image1_1569950027.26.png"
"1767562794-67","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Oies  bourbonaises","50 000CFA","Thies, Sénégal","https://images.coinafrique.com/thumb_990474_uploaded_image1_1569491306.15.png"
"1767562794-68","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Caille","1 000CFA","Grand Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_931708_uploaded_image1_1568194736.45.png"
"1767562794-69","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Verrat de race Large white","200 000CFA","Sénégal","https://images.coinafrique.com/thumb_929881_uploaded_image1_1568141260.81.png"
"1767562794-70","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Chèvre Balami","200 000CFA","Saint Louis, Sénégal","https://images.coinafrique.com/thumb_917895_uploaded_image1_1567801722.96.png"
"1767562794-71","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Bœuf","400 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_885779_uploaded_image2_1566997623.56.png"
"1767562794-72","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Poisson d'aquarium","35 000CFA","Sénégal","https://images.coinafrique.com/thumb_863425_uploaded_image1_1566425287.55.png"
"1767562794-73","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Sénégal","https://images.coinafrique.com/thumb_845280_uploaded_image1_1565952077.54.png"
"1767562794-74","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Carpe Koï Japonaise ( Aquarium)","50 000CFA","Dakar-Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_827220_uploaded_image1_1565349629.12.png"
"1767562794-75","https://sn.coinafrique.com/categorie/autres-animaux?page=6","Perruches","Prix sur demande","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_751123_uploaded_image1_1563297186.25.png"
"1767562797-76","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3395087_uploaded_image3_1634734337.jpeg"
"1767562797-77","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Trio de paon bleu","450 000CFA","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3389732_uploaded_image1_1634436997.jpg"
"1767562797-78","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Paon bleu adulte","300 000CFA","Keur Massar, Sénégal","https://images.coinafrique.com/thumb_3372722_uploaded_image1_1633568000.jpg"
"1767562797-79","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailles","1 500CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3371486_uploaded_image1_1633522085.jpg"
"1767562797-80","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3369906_uploaded_image1_1633454163.jpg"
"1767562797-81","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple hermine","20 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3369362_uploaded_image1_1633438173.jpg"
"1767562797-82","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Caille","2 000CFA","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3360468_uploaded_image1_1633037043.jpg"
"1767562797-83","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Autruchon","300 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3357168_uploaded_image1_1632871377.jpg"
"1767562797-84","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veaux","250 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3350491_uploaded_image1_1632436028.jpg"
"1767562797-85","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureaux Holstein","2 500 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3348822_uploaded_image1_1632352988.jpg"
"1767562797-86","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Géniteur Holstein","2 200 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3348819_uploaded_image1_1632352628.jpg"
"1767562797-87","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Carpe Koï","100 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3345713_uploaded_image1_1632222841.jpg"
"1767562797-88","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","40 000CFA","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3341213_uploaded_image1_1631968364.jpg"
"1767562797-89","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches","Prix sur demande","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3336754_uploaded_image1_1631736919.jpg"
"1767562797-90","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veaux","250 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3335012_uploaded_image1_1631654129.jpg"
"1767562797-91","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœuf","1 200 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3330908_uploaded_image1_1631459213.jpg"
"1767562797-92","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruche","24 000CFA","Hann Bel-Air, Dakar, Sénégal","https://images.coinafrique.com/thumb_3321530_uploaded_image1_1631021949.jpg"
"1767562797-93","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailleteaux","400CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3319946_uploaded_image1_1630948417.jpg"
"1767562797-94","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Caille","2 500CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3319937_uploaded_image1_1630948254.jpg"
"1767562797-95","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Veaux","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3318063_uploaded_image1_1630865928.jpg"
"1767562797-96","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie guinéen","100 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316816_uploaded_image1_1630785391.jpg"
"1767562797-97","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie gardien","90 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3316810_uploaded_image1_1630785291.jpg"
"1767562797-98","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chèvre mâle","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3315646_uploaded_image1_1630745395.jpg"
"1767562797-99","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","600 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3287171_uploaded_image1_1629317948.jpg"
"1767562797-100","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Vache","600 000CFA","Niaga, Sénégal","https://images.coinafrique.com/thumb_3287170_uploaded_image1_1629317800.jpg"
"1767562797-101","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies adultes","130 000CFA","Guediawaye, Dakar, Sénégal","https://images.coinafrique.com/thumb_3273490_uploaded_image1_1628621055.jpg"
"1767562797-102","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau","450 000CFA","Parcelle Assainies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3271377_uploaded_image1_1628524523.jpg"
"1767562797-103","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3269989_uploaded_image1_1628451897.jpg"
"1767562797-104","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Taureau","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3263210_uploaded_image1_1628122860.jpg"
"1767562797-105","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poisson aquarium","12 000CFA","Dakar Plateau, Dakar, Sénégal","https://images.coinafrique.com/thumb_3256827_uploaded_image1_1627902901.jpg"
"1767562797-106","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chaton","Prix sur demande","Mermoz-Sacré Coeur, Dakar, Sénégal","https://images.coinafrique.com/thumb_3254310_uploaded_image1_1627784670.jpg"
"1767562797-107","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","740 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3253864_uploaded_image1_1627751756.jpg"
"1767562797-108","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruche ondulée","15 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_3243586_uploaded_image1_1627157324.jpg"
"1767562797-109","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Bœufs","Prix sur demande","Dieuppeul-Derklé, Dakar, Sénégal","https://images.coinafrique.com/thumb_3240329_uploaded_image1_1626964752.jpg"
"1767562797-110","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Chatons 2 et 3 mois","Prix sur demande","Grand Dakar, Dakar, Sénégal","https://images.coinafrique.com/thumb_3222114_uploaded_image1_1626003610.jpg"
"1767562797-111","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Perruches ondulées","20 000CFA","Point E, Dakar, Sénégal","https://images.coinafrique.com/thumb_3215371_uploaded_image1_1625676061.jpg"
"1767562797-112","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3172011_uploaded_image1_1623695650.jpg"
"1767562797-113","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oies","60 000CFA","Dakar, Sénégal","https://images.coinafrique.com/thumb_3172006_uploaded_image1_1623695521.jpg"
"1767562797-114","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cheval","450 000CFA","Pikine, Sénégal","https://images.coinafrique.com/thumb_3169679_uploaded_image1_1623583685.jpg"
"1767562797-115","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Cailles","Prix sur demande","Touba, Sénégal","https://images.coinafrique.com/thumb_3169648_uploaded_image3_1623581190.jpeg"
"1767562797-116","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Couple dinde","Prix sur demande","Touba, Sénégal","https://images.coinafrique.com/thumb_3169645_uploaded_image2_1623581040.jpeg"
"1767562797-117","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Dinde","Prix sur demande","Touba, Sénégal","https://images.coinafrique.com/thumb_3165522_uploaded_image1_1623360382.jpg"
"1767562797-118","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Paonneau","Prix sur demande","Mbao, Dakar, Sénégal","https://images.coinafrique.com/thumb_3164991_uploaded_image1_1623339895.jpg"
"1767562797-119","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Rat","Prix sur demande","Almadies, Dakar, Sénégal","https://images.coinafrique.com/thumb_3156125_uploaded_image1_1622977662.jpg"
"1767562797-120","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Poisson vivant","Prix sur demande","Yoff, Dakar, Sénégal","https://images.coinafrique.com/thumb_3140939_uploaded_image1_1622373784.jpg"
"1767562797-121","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Boeuf","800 000CFA","Bambey, Sénégal","https://images.coinafrique.com/thumb_3140204_uploaded_image1_1622308324.jpg"
"1767562797-122","https://sn.coinafrique.com/categorie/autres-animaux?page=5","Oie géant","85 000CFA","Mbour, Sénégal","https://images.coinafrique.com/thumb_3133835_uploaded_image1_1621994387.jpg"
